timestep [],time [Myr],sac_1 [m],sac_2 [m],sac_3 [m]
213,0.0426,3.6418802365681495,3.977266947743835,2.386387004953222
214,0.0428,3.6937243383789244,3.9957761839542276,2.38579844773565
215,0.043,3.7557357703910514,4.0138284158726565,2.423519110290689
216,0.0432,3.816286739602754,4.0319388532220675,2.4604408763026386
217,0.0434,3.8207619114548192,4.031439091752828,2.497282196051638
218,0.0436,3.8187981866822054,4.03098787526929,2.533735935889472
219,0.0438,3.8241033009951337,4.049482849875744,2.532732201160067
220,0.044,3.8803601901658857,4.049060282733108,2.5726594601579365
221,0.0442,3.942755592623832,4.067790148906528,2.5718471245465615
222,0.0444,4.004369663863827,4.0673217112396,2.5710506246664533
223,0.0446,4.063784798020491,4.068087684866116,2.5702697978996856
224,0.0448,4.07011166622766,4.067664673943435,2.5695044011559176
225,0.045,4.131430798712777,4.0865500132299974,2.568754200527416
226,0.0452,4.12950031526024,4.08618015543346,2.5680189623089085
227,0.0454,4.136609499869183,4.087224377775157,2.5672984591778225
228,0.0456,4.1349539938889555,4.08693976985215,2.5665924611240896
229,0.0458,4.133842872101007,4.104901542812016,2.5659007413690818
230,0.046,4.132804914451102,4.104786474268775,2.5652230855929976
231,0.0462,4.140659560485241,4.1239235469626845,2.564559270685322
232,0.0464,4.149258754842429,4.123638280676146,2.563909089723783
233,0.0466,4.149349889970459,4.1233549658752455,2.5632723759562617
234,0.0468,4.149908909158825,4.123073590372752,2.562648972759177
235,0.047,4.150512029229912,4.123999241086832,2.5620387204621276
236,0.0472,4.149675608702843,4.124964760810468,2.5614415467373877
237,0.0474,4.150425669264477,4.125969861376919,2.560857386852338
238,0.0476,4.149161144972528,4.1270139979881,2.5602861846609937
239,0.0478,4.147910053291272,4.128603237150518,2.559727880756882
240,0.048,4.147545213596338,4.130917044924367,2.559182429763785
241,0.0482,4.148870737796616,4.131355896210063,2.558649790124942
242,0.0484,4.150193898215033,4.131791165415157,2.55812981714556
243,0.0486,4.150250804838013,4.132216956651874,2.5576223168530707
244,0.0488,4.167372613013586,4.132644633668749,2.5571270986762302
245,0.049,4.166743693995093,4.133063759208531,2.5566439737491877
246,0.0492,4.166357800526241,4.133484170892118,2.556172755940241
247,0.0494,4.165427765892822,4.133896725515583,2.5557132654167587
248,0.0496,4.167121177374514,4.134306831531755,2.5552653200904114
249,0.0498,4.167399448617727,4.154526043580702,2.554828738713455
250,0.05,4.185978720796151,4.175460056839863,2.554403349671498
251,0.0502,4.185296390580273,4.195924434878528,2.5539889808388168
252,0.0504,4.204096498867901,4.216277090965791,2.5535854653720738
253,0.0506,4.203584889429175,4.236843614640554,2.5531926298780694
254,0.0508,4.2031495926965095,4.237041237949522,2.5528103128000796
255,0.051,4.222199525634098,4.237237026586045,2.5524383532310972
256,0.0512,4.221741361954217,4.237747092107087,2.552076592635171
257,0.0514,4.240842456520416,4.258361811688402,2.551724877799422
258,0.0516,4.242655496435394,4.278564062339328,2.5513830488998166
259,0.0518,4.2431983072091395,4.278747620520949,2.551050957803378
260,0.052,4.261080168911276,4.298302583301715,2.5507285530582693
261,0.0522,4.262635715334217,4.3186321504577485,2.5504157784008976
262,0.0524,4.281722902460041,4.318765033943896,2.5501124789443383
263,0.0526,4.2811775922627175,4.318896857725924,2.5498185145675225
264,0.0528,4.281042238181872,4.33810164786915,2.549534047789515
265,0.053,4.281022464576229,4.339345171931547,2.5492597753215738
266,0.0532,4.290166057177425,4.340668706767083,2.54908286548861
267,0.0534,4.3000746921927995,4.361175273177497,2.549001765273173
268,0.0536,4.370727473688218,4.361686815733241,2.5490136446070712
269,0.0538,4.38115141520537,4.382265944612321,2.549115938458567
270,0.054,4.3935177955715226,4.3824311332968655,2.5492262838416293
271,0.0542,4.406423245537046,4.382599046308956,2.5493420472835013
272,0.0544,4.4183779914373735,4.382769435295456,2.5494631830188874
273,0.0546,4.494469499732191,4.382942073249692,2.549592942225413
274,0.0548,4.567859727653559,4.403081861277992,2.5497319874588067
275,0.055,4.639300946828193,4.423378963856032,2.5498809528464745
276,0.0552,4.638289534881409,4.423454300007066,2.5500403281956983
277,0.0554,4.699793410696093,4.423531445915178,2.550761162794727
278,0.0556,4.69908590823247,4.4236849458592395,2.5511111371156345
279,0.0558,4.763897416058371,4.424702668419092,2.551543297300513
280,0.056,4.831706599195945,4.445201545484555,2.5519814531043536
281,0.0562,4.842045061813104,4.445346191976185,2.552425569037071
282,0.0564,4.841445425303534,4.445581925621512,2.552877197961749
283,0.0566,4.841031799246139,4.466276581738664,2.5535190452841916
284,0.0568,4.913847241686276,4.466509652358914,2.554221129621942
285,0.057,4.91332180269274,4.467025804124671,2.554979128642584
286,0.0572,4.912796852750498,4.467300864174667,2.5557943786880197
287,0.0574,4.912373019709889,4.487050640873351,2.556690731143363
288,0.0576,4.912078378532931,4.507519491596425,2.5777640993975695
289,0.0578,4.911785271115736,4.507923123101233,2.5992695676778
290,0.058,4.914578968961889,4.528619489857801,2.620238031825574
291,0.0582,4.917625387665574,4.548355886005162,2.620885296013385
292,0.0584,4.921282746219283,4.568845976938133,2.6227257762880654
293,0.0586,4.922005287212975,4.569010558366998,2.624886438700186
294,0.0588,4.926023311615553,4.569175909888875,2.627337042967617
295,0.059,4.926498028428598,4.588623619061926,2.630071292088027
296,0.0592,4.926975244977574,4.608835186257863,2.6330290051199876
297,0.0594,4.929702497494749,4.629196380878801,2.679959781089264
298,0.0596,4.93055575198447,4.629317520204694,2.725680442127765
299,0.0598,4.932140186086639,4.6308826543844965,2.772964307991106
300,0.06,4.935907394687098,4.707853144242539,2.773759124758358
301,0.0602,4.939673424120263,4.708213253928077,2.8187205295554736
302,0.0604,4.942427523588195,4.728772321230341,2.8194200190024277
303,0.0606,4.942905909590167,4.730793984704895,2.8201168291575054
304,0.0608,4.9465834346615996,4.809368111006925,2.8235724502370245
305,0.061,4.948152902657835,4.811964496299733,2.8267901198735927
306,0.0612,4.951498746896895,4.8210422875479155,2.8749666924950525
307,0.0614,4.955492037639398,4.824998426777275,2.9225195139583273
308,0.0616,4.957733271872079,4.901757180026944,2.9232411424688953
309,0.0618,4.9582083786702205,4.9024715965384225,2.923960312628272
310,0.062,4.960130112628846,4.903177188122114,2.9246770558404696
311,0.0622,4.960979082091433,4.909479491767764,2.925391418672537
312,0.0624,4.964761784752307,4.992602065771935,2.926758612934561
313,0.0626,4.968539103139795,4.993652490747934,2.9478219131183785
314,0.0628,4.970836040187749,5.0149185290266844,2.9688372892082113
315,0.063,4.975029131595038,5.015925974079233,2.9898014150590386
316,0.0632,4.976274706783251,5.042974031588829,3.0104336001687155
317,0.0634,4.977197855184834,5.070713370390214,3.034633325446829
318,0.0636,4.979468859342218,5.078671667566675,3.0591514264600814
319,0.0638,4.998819616150867,5.107951081465629,3.0840478199256944
320,0.064,5.018381793637272,5.137822399584907,3.109229189819201
321,0.0642,5.020371139933139,5.147624077507938,3.114777077744922
322,0.0644,5.040699952599777,5.15803312118063,3.165077724241777
323,0.0646,5.04329743006045,5.159885929970839,3.2146540902996836
324,0.0648,5.063618628103905,5.161889435114149,3.263857801913094
325,0.065,5.083043261978848,5.163989368791486,3.312741144630378
326,0.0652,5.102886409024002,5.166076195158296,3.361034975949165
327,0.0654,5.105088161461207,5.26070063696307,3.361650970445304
328,0.0656,5.125629119983177,5.350753452936473,3.3640349912905814
329,0.0658,5.1461556492969756,5.352261364121953,3.3668211237795385
330,0.066,5.1658638146514475,5.35381922003939,3.370018219003306
331,0.0662,5.185814881074813,5.3553658406422375,3.416494497652512
332,0.0664,5.205665208264374,5.378580336847045,3.4199389142701655
333,0.0666,5.2254361592664065,5.401803049108912,3.421021353188414
334,0.0668,5.243576155039883,5.424752476231652,3.4269447782139024
335,0.067,5.263236259442692,5.426025629281572,3.47743377612218
336,0.0672,5.2811461393184045,5.428392284116607,3.5291888646265375
337,0.0674,5.282870213179564,5.430818973993844,3.5301878213853515
338,0.0676,5.284598041774084,5.453990955517507,3.531179027541534
339,0.0678,5.302613791874602,5.455316193100404,3.578088964829996
340,0.068,5.321939471346968,5.485314836476939,3.629623520972849
341,0.0682,5.322319953860276,5.515815443797272,3.630515903861595
342,0.0684,5.328221696588288,5.546973070830779,3.6364473108452136
343,0.0686,5.395344835044923,5.579188488306669,3.6374330957055805
344,0.0688,5.470746003792336,5.601869291914955,3.638411262208759
345,0.069,5.470839927746848,5.625720490600688,3.639381901128026
346,0.0692,5.479551889038094,5.627247499578205,3.6403452043604245
347,0.0694,5.539960634963812,5.639138022952769,3.641301249755787
348,0.0696,5.546610612099784,5.641233290258528,3.642250155929872
349,0.0698,5.615474151805053,5.654053057680632,3.643192026489836
350,0.07,5.691196957257827,5.666668154000242,3.6441270386427203
351,0.0702,5.690863179557628,5.7018320198243,3.647051214649869
352,0.0704,5.690539639687423,5.736531468772165,3.65577907283445
353,0.0706,5.6902265477328315,5.749276683882537,3.6652207876007026
354,0.0708,5.69299273939031,5.784975004098524,3.6753401925995806
355,0.071,5.698368869062912,5.788471819302367,3.6830945869697977
356,0.0712,5.7040517701021125,5.80181811529616,3.6938832328298163
357,0.0714,5.709822477396054,5.910752361902112,3.695689294534127
